"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Arsenal",25.3,25.9,25.2,23.7,22.9,23.3,22.8,22.3,21.3,21.7,23.4,23.3,23.8,23.8,23,23.7,23.7,27.3
"Aston Villa",25,25.9,25.3,25.1,23.8,24,24.8,24.3,25.4,25.5,25.1,25.3,24.1,24,24.3,23.5,0,0
"Birmingham",0,0,26.1,26.5,25.1,25.5,0,24.1,0,25.5,25.8,0,0,0,0,0,0,0
"Blackburn",0,26.8,25.7,25.3,26.1,26.7,26.6,24.3,26.4,25.3,25.1,24.5,0,0,0,0,0,0
"Blackpool",0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0
"Bolton",0,25.9,26.1,26.5,27.3,26,24.6,25.8,24.6,25.3,25.4,25.2,0,0,0,0,0,0
"Bournemouth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,23.4,26.8
"Bradford",27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brighton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7
"Burnley",0,0,0,0,0,0,0,0,0,25,0,0,0,0,25.5,0,25.7,28.5
"Cardiff",0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,0
"Charlton",25.2,26.3,26.2,25.7,25.5,25,24.7,0,0,0,0,0,0,0,0,0,0,0
"Chelsea",26.2,24.5,25.2,24.8,23.4,24.5,23.2,24.6,25.6,26.8,24.5,26.3,25.3,23.8,23.9,23.7,23.8,27
"Coventry",23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Palace",0,0,0,0,24.1,0,0,0,0,0,0,0,0,26.2,26,25.6,25.1,27.3
"Derby",23.5,24.3,0,0,0,0,0,25.8,0,0,0,0,0,0,0,0,0,0
"Everton",25.3,26.3,25.5,26.1,26.2,26.3,25,24.4,24.4,23.1,23.9,25.6,25.6,25.9,24.3,24.7,24.9,26.6
"Fulham",0,25.5,26.2,26.1,24.9,26.6,26.3,26.7,25.3,25.3,27.5,26.1,26.9,25.4,0,0,0,0
"Huddersfield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6
"Hull",0,0,0,0,0,0,0,0,27.2,26,0,0,0,26.4,26.1,0,25,0
"Ipswich",24.8,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leeds",22.5,24.1,24.3,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leicester",24.9,25.5,0,26.9,0,0,0,0,0,0,0,0,0,0,25.9,25.9,25.6,27.9
"Liverpool",24.5,25.1,23.9,23.6,23.9,23.9,23.6,22.5,23.9,24.4,23.5,25,22.8,23.8,23.4,22.5,23.4,25.4
"Man City",24.9,0,24.9,25.7,25.4,24.7,24.4,23.6,24,24.1,23.4,24.7,24,25.7,25.4,24.4,24.7,26.9
"Man United",24.9,26.1,25.3,23.3,24.2,24.9,24.2,24.2,24.3,25,24.1,23.6,24.1,24.9,23.9,22.5,23.5,27.3
"Middlesbrough",26,26.5,24,24.3,24.6,23.6,23.2,23.6,22.3,0,0,0,0,0,0,0,26.3,0
"Newcastle",23.4,23.9,23.4,23.5,24.7,25.6,25,25.1,24.8,0,23.7,24.1,24.1,24.4,22.9,23.6,0,25.6
"Norwich",0,0,0,0,26,0,0,0,0,0,0,24.5,25.3,26.2,0,25.6,0,0
"Portsmouth",0,0,0,25.8,25.2,26.1,26.4,25.4,26.8,25.4,0,0,0,0,0,0,0,0
"QPR",0,0,0,0,0,0,0,0,0,0,0,27,28.1,0,25.1,0,0,0
"Reading",0,0,0,0,0,0,24,23.9,0,0,0,0,25.6,0,0,0,0,0
"Sheffield United",0,0,0,0,0,0,25.1,0,0,0,0,0,0,0,0,0,0,0
"Southampton",25.9,26.7,25.8,25.5,25,0,0,0,0,0,0,0,24.3,23.9,23.5,24.1,24.4,26.2
"Stoke",0,0,0,0,0,0,0,0,26.6,25.9,27,27.9,27.6,26.1,26.4,26.3,26.1,27.4
"Sunderland",24.3,25.2,24.4,0,0,23.4,0,24.2,24.9,24.5,23.7,25,25.4,24.9,24.8,25.5,24.4,0
"Swansea",0,0,0,0,0,0,0,0,0,0,0,24.8,25.9,25.5,24.3,24.8,25.9,27.3
"Tottenham",24.3,27.2,25.4,24.1,23.3,24.5,23.1,23.7,22.5,23.3,24.7,24.2,25.1,23.4,23.7,22.7,22.7,25.9
"Watford",0,0,0,0,0,0,23.1,0,0,0,0,0,0,0,0,26.4,25.8,27.6
"West Brom",0,0,25.7,0,26.1,25.3,0,0,24.6,0,24.3,25,25.7,26.6,25.5,25.4,26.3,29.2
"West Ham",25.1,27.3,25.8,0,0,25.3,25.1,25,24.3,23.8,25.1,0,25.1,25.3,24.8,23.2,23.7,27.4
"Wigan",0,0,0,0,0,27.4,26,25.5,25.7,25.4,24,25.4,25,0,0,0,0,0
"Wolves",0,0,0,26.2,0,0,0,0,0,24.1,23.7,24.1,0,0,0,0,0,0
"Wimbledon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
