"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","home_start_mv","away_start_mv","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","HM1","AM1","HM2","AM2","HM3","AM3","HM4","AM4","HM5","AM5","HM10","AM10","HM20","AM20","HMH1","AMA1","Distance","HTGD","ATGD","DiffPts","DiffLP"
"2281","2006-08-19","Arsenal","AstonVilla","1","1","D","0","0","0","0",0,0,0,0,0,0,101533000,22924000,4,16,22.8,24.8,5.69,2.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,-12
"2282","2006-08-19","Bolton","Tottenham","2","0","H","0","0","0","0",0,0,0,0,0,0,17795000,74162000,8,5,24.6,23.1,1.65,4.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,3
"2283","2006-08-19","Everton","Watford","2","1","H","0","0","0","0",0,0,0,0,0,0,41471000,10670000,11,18,25,23.1,3.31,0.412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,-7
"2284","2006-08-19","Newcastle","Wigan","2","1","H","0","0","0","0",0,0,0,0,0,0,58141000,31416000,7,10,25,26,4.66,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,-3
"2285","2006-08-19","Portsmouth","Blackburn","3","0","H","0","0","0","0",0,0,0,0,0,0,32051000,31600000,17,6,26.4,26.6,2.71,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,11
"2286","2006-08-19","Reading","Middlesbrough","3","2","H","0","0","0","0",0,0,0,0,0,0,7922000,31962000,18,14,24,23.2,0.622,2.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,4
"2287","2006-08-19","SheffieldUnited","Liverpool","1","1","D","0","0","0","0",0,0,0,0,0,0,10991000,88883000,18,3,25.1,23.6,0.66,5.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,15
"2288","2006-08-19","WestHam","Charlton","3","1","H","0","0","0","0",0,0,0,0,0,0,29860000,28182000,9,13,25.1,24.7,2.55,1.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-4
"2289","2006-08-20","Chelsea","ManCity","3","0","H","0","0","0","0",0,0,0,0,0,0,229460000,44600000,1,15,23.2,24.4,9.82,2.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,-14
"2290","2006-08-20","ManUnited","Fulham","5","1","H","0","0","0","0",0,0,0,0,0,0,133470000,26511000,2,12,24.2,26.3,6.24,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,-10
