"","match_date","FTR","IWH","IWD","IWA","hg1_score","hd1_score","hd2_score","hd3_score","hd4_score","hd5_score","hd6_score","hd7_score","hm1_score","hm2_score","hm3_score","hm4_score","hm5_score","hm6_score","hm7_score","hf1_score","hf2_score","hf3_score","hf4_score","ag1_score","ad1_score","ad2_score","ad3_score","ad4_score","ad5_score","ad6_score","ad7_score","am1_score","am2_score","am3_score","am4_score","am5_score","am6_score","am7_score","af1_score","af2_score","af3_score","af4_score","af5_score","ad8_score","hd8_score","FTR_H","FTR_A","FTR_D"
"1511","2008-08-16","H","1.2","5.2","11",79,78,84,82,73,83,0,0,76,82,79,0,0,0,0,86,77,0,0,77,66,73,70,74,69,0,0,70,70,69,68,0,0,0,68,0,0,0,0,0,0,1,0,0
"1512","2008-08-16","H","1.75","3.3","4.2",78,69,75,75,71,70,74,0,76,79,0,0,0,0,0,75,78,0,0,73,67,53,70,71,69,0,0,67,68,0,0,0,0,0,69,76,67,0,0,0,0,1,0,0
"1513","2008-08-16","A","2","3.2","3.3",82,71,82,78,76,72,80,76,82,75,0,0,0,0,0,84,0,0,0,78,74,72,77,77,75,77,0,76,80,0,0,0,0,0,74,83,0,0,0,0,0,0,1,0
"1514","2008-08-16","H","2.4","3.2","2.6",73,70,69,69,67,0,0,0,67,74,65,75,67,0,0,74,0,0,0,75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,71,73,0,0,0,0,0,1,0,0
"1515","2008-08-16","H","2.9","3.2","2.2",73,77,72,69,77,0,0,0,81,74,65,83,0,0,0,73,78,0,0,82,71,77,76,80,0,0,0,82,79,80,82,78,0,0,79,0,0,0,0,0,0,1,0,0
"1516","2008-08-16","A","4.5","3.5","1.65",81,71,76,71,72,76,0,0,75,73,73,0,0,0,0,78,69,0,0,84,77,78,77,85,0,0,0,78,88,70,80,0,0,0,83,88,0,0,0,0,0,0,1,0
"1517","2008-08-16","H","1.8","3.3","3.8",80,71,79,79,75,78,0,0,74,75,80,0,0,0,0,81,72,0,0,77,75,69,74,67,78,0,0,69,74,75,0,0,0,0,77,71,0,0,0,0,0,1,0,0
"1518","2008-08-17","H","2","3.2","3.3",80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,78,76,79,82,73,0,0,0,83,65,76,77,0,0,0,58,83,0,0,0,0,0,1,0,0
"1519","2008-08-17","H","1.3","4.4","8.5",88,85,88,82,83,0,0,0,86,84,85,86,81,0,0,83,0,0,0,83,78,74,78,72,77,0,0,81,75,81,0,0,0,0,76,81,0,0,0,0,0,1,0,0
"1520","2008-08-17","D","1.3","4.4","8.5",85,80,86,87,84,0,0,0,83,76,82,85,0,0,0,60,87,0,0,83,74,77,81,76,53,0,0,73,74,75,76,0,0,0,82,0,0,0,0,0,0,0,0,1
"1521","2008-08-23","D","1.6","3.6","4.8",78,74,72,77,77,75,77,0,76,80,0,0,0,0,0,74,83,0,0,73,70,69,69,67,0,0,0,67,65,75,65,0,0,0,66,74,0,0,0,0,0,0,0,1
"1522","2008-08-23","H","5","3.5","1.6",75,72,67,79,67,0,0,0,78,75,75,74,0,0,0,71,73,0,0,79,78,84,82,85,83,0,0,76,82,79,0,0,0,0,86,85,0,0,0,0,0,1,0,0
"1523","2008-08-23","H","1.4","4","6.5",84,77,78,80,85,0,0,0,78,88,82,80,0,0,0,83,88,0,0,70,77,72,69,77,0,0,0,81,74,65,83,0,0,0,73,78,0,0,0,0,0,1,0,0
"1524","2008-08-23","H","1.75","3.3","4.2",83,74,77,81,76,53,0,0,73,74,75,76,0,0,0,82,0,0,0,78,69,75,75,71,70,74,0,76,79,0,0,0,0,0,75,78,0,0,0,0,0,1,0,0
"1525","2008-08-23","H","4.3","3.4","1.7",73,74,67,70,69,61,0,0,66,72,67,0,0,0,0,74,76,0,0,80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,0,0,0,1,0,0
