"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","Distance","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"1",2005-08-13,"AstonVilla","Bolton",2,2,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",10,6,24,26,3.13,2.12,1,127,0,0,1,1,0,0,1,1,0,0,0,0,4
"2",2005-08-13,"Everton","ManUnited",0,2,"A",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",4,3,26.3,24.9,3.41,8.9,1,45,0,0,1,1,0,0,1,1,0,0,0,0,1
"3",2005-08-13,"Fulham","Birmingham",0,0,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",13,12,26.6,25.5,2.06,2.6,1,159,0,0,1,1,0,0,1,1,0,0,0,0,1
"4",2005-08-13,"ManCity","WestBrom",0,0,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",8,17,24.7,25.3,2.26,1.6,1,110,0,0,1,1,0,0,1,1,0,0,0,0,-9
"5",2005-08-13,"Middlesbrough","Liverpool",0,0,"D",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",7,5,23.6,23.9,2.43,5.27,1,171,0,0,1,1,0,0,1,1,0,0,0,0,2
"6",2005-08-13,"Portsmouth","Tottenham",0,2,"A",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",16,9,26.1,24.5,2.33,4.37,1,114,0,0,1,1,0,0,1,1,0,0,0,0,7
"7",2005-08-13,"Sunderland","Charlton",1,3,"A",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",18,11,23.4,25,1.05,1.87,1,393,0,0,1,1,0,0,1,1,0,0,0,0,7
"8",2005-08-13,"WestHam","Blackburn",3,1,"H",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",18,15,25.3,26.7,1.47,2.36,1,296,0,0,1,1,0,0,1,1,0,0,0,0,3
"9",2005-08-14,"Arsenal","Newcastle",2,0,"H",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",2,14,23.3,25.6,5.97,5.08,1,394,0,0,1,1,0,0,1,1,0,0,0,0,-12
"10",2005-08-14,"Wigan","Chelsea",0,1,"A",0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","0","0",18,1,27.4,24.5,1.16,11.74,1,284,0,0,1,1,0,0,1,1,0,0,0,0,17
"11",2005-08-20,"Birmingham","ManCity",1,2,"A",0,0,0,0,0.5,0.5,3.5,7.5,2,4,"1","0","0","0","0","1","0","0","0","0",12,8,25.5,24.7,2.6,2.26,2,114,0,0,1,1,0,0,1,1,0,0,0,0,4
"12",2005-08-20,"Blackburn","Fulham",2,1,"H",1,0,3,0,0,0.5,5.5,7.5,2.5,3.5,"0","0","0","0","0","1","0","0","0","0",15,13,26.7,26.6,2.36,2.06,2,294,0,0,1,1,0,0,1,1,-1,0,-0.5,-0.5,2
"13",2005-08-20,"Charlton","Wigan",1,0,"H",3,0,1,1,1.5,0,7,6,2,2.5,"3","0","0","0","0","0","0","0","0","0",11,18,25,27.4,1.87,1.16,2,293,0,0,1,1,0,0,1,1,1,-0.5,1.5,1.5,-7
"14",2005-08-20,"Liverpool","Sunderland",1,0,"H",0,1,0,3,0.5,0,8,6,3.5,4,"1","0","0","0","0","0","0","0","0","0",5,18,23.9,23.4,5.27,1.05,2,194,0,0,1,1,0,0,1,1,0,-1,0.5,0.5,-13
"15",2005-08-20,"ManUnited","AstonVilla",1,0,"H",2,2,0,2,1.5,0.5,6,1.5,2.5,1,"3","0","0","0","0","1","0","0","0","0",3,10,24.9,24,8.9,3.13,2,110,0,0,1,1,0,0,1,1,1,0,1,1,-7
"16",2005-08-20,"Newcastle","WestHam",0,0,"D",0,3,2,1,0,1.5,1,6.5,0.5,2.5,"0","0","0","0","0","3","0","0","0","0",14,18,25.6,25.3,5.08,1.47,2,397,0,0,1,1,0,0,1,1,-1,1,-1.5,-1.5,-4
"17",2005-08-20,"Tottenham","Middlesbrough",2,0,"H",2,0,0,0,1.5,0.5,5.5,2,3,1,"3","0","0","0","0","1","0","0","0","0",9,7,24.5,23.6,4.37,2.43,2,340,0,0,1,1,0,0,1,1,1,0,1,1,2
"18",2005-08-20,"WestBrom","Portsmouth",2,1,"H",0,0,0,2,0.5,0,6.5,5.5,1.5,3.5,"1","0","0","0","0","0","0","0","0","0",17,16,25.3,26.1,1.6,2.33,2,201,0,0,1,1,0,0,1,1,0,-1,0.5,0.5,1
"19",2005-08-21,"Bolton","Everton",0,1,"A",2,0,2,2,0.5,0,6.5,5,3,2.5,"1","0","0","0","0","0","0","0","0","0",6,4,26,26.3,2.12,3.41,2,33,0,0,1,1,0,0,1,1,0,-1,0.5,0.5,2
"20",2005-08-21,"Chelsea","Arsenal",1,0,"H",1,2,0,0,1.5,1.5,10,7.5,4.5,6,"3","0","0","0","0","3","0","0","0","0",1,2,24.5,23.3,11.74,5.97,2,10,0,0,1,1,0,0,1,1,0.5,1,0,0,-1
"21",2005-08-23,"Birmingham","Middlesbrough",0,3,"A",1,0,2,2,0.333333333333333,0.333333333333333,5.33333333333333,5.33333333333333,2,1.66666666666667,"0","1","0","0","0","0","1","0","0","0",12,7,25.5,23.6,2.6,2.43,3,238,0,0,1,1,0,0,1,1,-0.333333333333333,-0.666666666666667,0,0,5
"22",2005-08-23,"Portsmouth","AstonVilla",1,1,"D",1,2,4,3,0,0.333333333333333,7,2,3,1.66666666666667,"0","0","0","0","0","0","1","0","0","0",16,10,26.1,24,2.33,3.13,3,199,0,0,1,1,0,0,1,1,-1,-0.333333333333333,-0.333333333333333,-0.333333333333333,6
"23",2005-08-23,"Sunderland","ManCity",1,2,"A",1,2,4,1,0,1.33333333333333,4.66666666666667,8,2.66666666666667,4.66666666666667,"0","0","0","0","0","3","4","0","0","0",18,8,23.4,24.7,1.05,2.26,3,168,0,0,1,1,0,0,1,1,-1,0.333333333333333,-1.33333333333333,-1.33333333333333,10
"24",2005-08-24,"Arsenal","Fulham",4,1,"H",2,1,1,2,1,0.333333333333333,8,7.66666666666667,5,3.66666666666667,"0","3","0","0","0","0","1","0","0","0",2,13,23.3,26.6,5.97,2.06,3,12,0,0,1,1,0,0,1,1,0.333333333333333,-0.333333333333333,0.666666666666667,0.666666666666667,-11
"25",2005-08-24,"Blackburn","Tottenham",0,0,"D",3,4,4,0,1,2,9,9.66666666666667,4.66666666666667,4.66666666666667,"3","3","0","0","0","3","6","0","0","0",15,9,26.7,24.5,2.36,4.37,3,288,0,0,1,1,0,0,1,1,-0.333333333333333,1.33333333333333,-1,-1,6
"26",2005-08-24,"Bolton","Newcastle",2,0,"H",2,0,3,2,0.333333333333333,0.333333333333333,9.66666666666667,5.33333333333333,4,2.33333333333333,"0","1","0","0","0","1","1","0","0","0",6,14,26,25.6,2.12,5.08,3,166,0,0,1,1,0,0,1,1,-0.333333333333333,-0.666666666666667,0,0,-8
"27",2005-08-24,"Chelsea","WestBrom",4,0,"H",2,2,0,1,2,1.33333333333333,9.66666666666667,6.33333333333333,5,1.66666666666667,"3","6","0","0","0","3","4","0","0","0",1,17,24.5,25.3,11.74,1.6,3,167,0,0,1,1,0,0,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,-16
"28",2005-08-27,"AstonVilla","Blackburn",1,0,"H",2,3,3,4,0.333333333333333,1,2,9,1.66666666666667,4.66666666666667,"0","1","0","0","0","3","3","0","0","0",10,15,24,26.7,3.13,2.36,3,142,0,0,1,1,0,0,1,1,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.666666666666667,-5
"29",2005-08-27,"Fulham","Everton",1,0,"H",1,1,2,2,0.333333333333333,1,7.66666666666667,4.33333333333333,3.66666666666667,2,"0","1","0","0","0","3","3","0","0","0",13,4,26.6,26.3,2.06,3.41,3,287,0,0,1,1,0,0,1,1,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.666666666666667,9
"30",2005-08-27,"ManCity","Portsmouth",2,1,"H",2,1,1,4,1.33333333333333,0,8,7,4.66666666666667,3,"3","4","0","0","0","0","0","0","0","0",8,16,24.7,26.1,2.26,2.33,3,309,0,0,1,1,0,0,1,1,0.333333333333333,-1,1.33333333333333,1.33333333333333,-8
"31",2005-08-27,"Tottenham","Chelsea",0,2,"A",4,6,0,0,1.75,2.25,7.5,10,3.75,5.75,"1","4","7","0","0","3","6","9","0","0",9,1,24.5,24.5,4.37,11.74,4,16,0,0,0,1,1,0,0,1,1,1.5,-0.5,-0.5,8
"32",2005-08-27,"WestBrom","Birmingham",2,3,"A",2,1,5,5,1,0.25,4.75,7.5,1.25,3.5,"0","3","4","0","0","0","0","1","0","0",17,12,25.3,25.5,1.6,2.6,4,7,0,0,0,1,0,0,0,1,-0.75,-1,0.75,0.75,5
"33",2005-08-27,"WestHam","Bolton",1,2,"A",4,4,3,3,1,1,8,10.75,3,4.5,"0","1","4","0","0","3","3","4","0","0",18,6,25.3,26,1.47,2.12,4,284,0,0,0,1,0,0,0,1,0.25,0.25,0,0,12
"34",2005-08-27,"Wigan","Sunderland",1,0,"H",1,2,2,6,0.75,0,6.75,7.25,2.5,4.5,"3","3","3","0","0","0","0","0","0","0",18,18,27.4,23.4,1.16,1.05,4,173,0,0,0,1,0,0,1,1,-0.25,-1,0.75,0.75,0
"35",2005-08-28,"Middlesbrough","Charlton",0,3,"A",3,7,2,1,1,2.25,6,11.75,2,5.5,"3","3","4","0","0","3","6","9","0","0",7,11,23.6,25,2.43,1.87,4,354,0,0,0,1,1,0,0,1,0.25,1.5,-1.25,-1.25,-4
