"","match_date","hometeam","awayteam","hg1","hd1","hd2","hd3","hd4","hd5","hd6","hd7","hm1","hm2","hm3","hm4","hm5","hm6","hm7","hf1","hf2","hf3","hf4","hf5","ag1","ad1","ad2","ad3","ad4","ad5","ad6","ad7","am1","am2","am3","am4","am5","am6","am7","af1","af2","af3","af4","af5","season","ad8","hd8"
"2","2004-08-14","Aston Villa","Southampton","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Martin Laursen","Olof Mellberg","Gareth Barry",NA,NA,"Lee Hendrie","Thomas Hitzlsperger","Gavin McCann",NA,NA,NA,NA,"Carlton Cole","Darius Vassell",NA,NA,NA,"Antti Niemi","Jason Dodd","Danny Higginbotham","Claus Lundekvam","Graeme Le Saux",NA,NA,NA,"Fabrice Fernandes","Yoann Folly","Mikael Nilsson","David Prutton",NA,NA,NA,"Brett Ormerod","Kevin Phillips",NA,NA,NA,"20042005",NA,NA
"3","2004-08-14","Blackburn","West Brom","Brad Friedel","Brett Emerton","Vratislav Gresko","Lorenzo Amoruso","Craig Short","Dominic Matteo","Michael Gray",NA,"Barry Ferguson","Javi de Pedro",NA,NA,NA,NA,NA,"Jon Stead","Dwight Yorke",NA,NA,NA,"Russell Hoult","Bernt Haas","Paul Robinson","Darren Purse","Neil Clement","Thomas Gaardsoe","Riccy Scimeca",NA,"Jonathan Greening","Andy Johnson",NA,NA,NA,NA,NA,"Geoff Horsfield","Nwankwo Kanu",NA,NA,NA,"20042005",NA,NA
"4","2004-08-14","Bolton","Charlton","Jussi Jaaskelainen","Nicky Hunt","Julio Cesar","Bruno N'Gotty","Campo","Gary Speed",NA,NA,"Ricardo Gardner","Kevin Nolan","Jay Jay Okocha",NA,NA,NA,NA,"Kevin Davies","Henrik Pedersen",NA,NA,NA,"Dean Kiely","Paul Konchesky","Luke Young","Mark Fish","Jonathan Fortune","Hermann Hreidarsson",NA,NA,"Matt Holland","Danny Murphy","Jason Euell",NA,NA,NA,NA,"Shaun Bartlett","Kevin Lisbie",NA,NA,NA,"20042005",NA,NA
"5","2004-08-14","Man City","Fulham","David James","Sylvain Distin","Danny Mills","Richard Dunne","Ben Thatcher",NA,NA,NA,"Paul Bosvelt","Claudio Reyna","Antoine Sibierski","Shaun Wright-Phillips",NA,NA,NA,"Nicolas Anelka","Robbie Fowler",NA,NA,NA,"Edwin van der Sar","Moritz Volz","Ian Pearce","Carlos Bocanegra","Zat Knight",NA,NA,NA,"Papa Bouba Diop","Claus Jensen","Sylvain Legwinski",NA,NA,NA,NA,"Andrew Cole","Collins John","Tomasz Radzinski",NA,NA,"20042005",NA,NA
"6","2004-08-14","Middlesbrough","Newcastle","Mark Schwarzer","Michael Reiziger","Ugo Ehiogu","Chris Riggott","Stuart Parnaby",NA,NA,NA,"George Boateng","Mendieta","Ray Parlour","Bolo Zenden",NA,NA,NA,"Jimmy Floyd Hasselbaink","Joseph-Desire Job",NA,NA,NA,"Shay Given","Stephen Carr","Aaron Hughes","Robbie Elliott","James Milner","Olivier Bernard",NA,NA,"Nicky Butt","Jermaine Jenas","Laurent Robert",NA,NA,NA,NA,"Craig Bellamy","Alan Shearer",NA,NA,NA,"20042005",NA,NA
"7","2004-08-14","Norwich","Crystal Palace","Rob Green","Craig Fleming","Thomas Helveg","Simon Charlton","Adam Drury",NA,NA,NA,"David Bentley","Damien Francis","Gary Holt","Mattias Jonson",NA,NA,NA,"Darren Huckerby","Mathias Svensson",NA,NA,NA,"Julian Speroni","Mark Hudson","Fitz Hall","Tony Popovic","Emmerson Boyce","Danny Granville",NA,NA,"Joonas Kolkka","Wayne Routledge","Michael Hughes",NA,NA,NA,NA,"Andrew Johnson","Sandor Torghelle",NA,NA,NA,"20042005",NA,NA
"8","2004-08-14","Portsmouth","Birmingham","Shaka Hislop","Dejan Stefanovic","David Unsworth","Arjan De Zeeuw","Linvoy Primus",NA,NA,NA,"Patrik Berger","Richard Hughes","Nigel Quashie","Steve Stone",NA,NA,NA,"Lomano Tresor Lua Lua","Yakubu Ayegbeni",NA,NA,NA,"Maik Taylor","Mario Melchiot","Martin Taylor","Matthew Upson",NA,NA,NA,NA,"Damien Johnson","Stan Lazaridis","Muzzy Izzet","Robbie Savage","Jesper Gronkjaer",NA,NA,"Mikael Forssell","Emile Heskey",NA,NA,NA,"20042005",NA,NA
"9","2004-08-14","Tottenham","Liverpool","Paul Robinson","Phil Ifil","Nourredine Naybet","Ledley King","Erik Edman",NA,NA,NA,"Sean Davis","Johnnie Jackson","Pedro Mendes","Jamie Redknapp",NA,NA,NA,"Jermain Defoe","Frederic Kanoute",NA,NA,NA,"Jerzy Dudek","Steve Finnan","Josemi","John Arne Riise","Sami Hyypia","Jamie Carragher",NA,NA,"Steven Gerrard","Dietmar Hamann","Harry Kewell",NA,NA,NA,NA,"Milan Baros","Djibril Cisse",NA,NA,NA,"20042005",NA,NA
"10","2004-08-15","Chelsea","Man United","Petr Cech","Paulo Ferreira","William Gallas","John Terry","Wayne Bridge",NA,NA,NA,"Geremi","Frank Lampard","Claude Makelele","Alexei Smertin","Eidur Gudjohnsen",NA,NA,"Didier Drogba",NA,NA,NA,NA,"Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre",NA,NA,NA,NA,"Eric Djemba-Djemba","Quinton Fortune","Ryan Giggs","Roy Keane","Liam Miller","Paul Scholes","Alan Smith",NA,NA,NA,NA,NA,"20042005",NA,NA
"11","2004-08-15","Everton","Arsenal","Nigel Martyn","Alessandro Pistone","Alan Stubbs","Kevin Kilbane","Gary Naysmith","Joseph Yobo",NA,NA,"Lee Carsley","Thomas Gravesen","Leon Osman","James McFadden",NA,NA,NA,"Kevin Campbell",NA,NA,NA,NA,"Jens Lehmann","Pascal Cygan","Lauren","Kolo Toure","Ashley Cole",NA,NA,NA,"Cesc Fabregas","Gilberto Silva","Freddie Ljungberg",NA,NA,NA,NA,"Dennis Bergkamp","Thierry Henry","Jose Antonio Reyes",NA,NA,"20042005",NA,NA
