"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","B365.2.5","B365.2.5.1","GBAHH","GBAHA","GBAH","LBAHH","LBAHA","LBAH","B365AHH","B365AHA","B365AH"
"1","E0",2004-08-14,"Aston Villa","Southampton",2,0,"H",2,0,"H","U Rennie",14,6,5,2,14,9,12,6,0,0,0,0,"1.9","3.1","4.33","1.9","3.25","4","2","3.25","3.5","1.85","3.1","3.6","1.73","3.2","4.33","1.91","3.25","3.75","1.8","3.1","4","1.91","1.79","2.05","1.75","1.7","2.05","-0.25","2.02","1.82","-0.5","2","1.9","-0.5"
"2","E0",2004-08-14,"Blackburn","West Brom",1,1,"D",0,1,"A","C Foy",12,4,4,2,15,17,4,5,1,0,0,0,"1.8","3.1","5","1.8","3.25","4.5","1.77","3.3","4.75","1.8","3.1","3.8","1.67","3.25","4.5","1.73","3.4","4.33","1.9","2.87","4","1.85","1.85","2","1.8","1.77","1.95","-0.5","1.8","2.04","-0.5","1.85","2.05","-0.5"
"3","E0",2004-08-14,"Bolton","Charlton",4,1,"H",2,0,"H","P Dowd",21,9,11,5,10,12,9,5,1,1,0,0,"2.25","3.2","3.1","2.1","3.2","3.3","2.25","3.2","3.1","2.2","3","2.9","2.2","3","3","2.25","3.2","2.88","2.15","3.2","2.9","1.86","1.85","2","1.8","2","1.85","-0.25","2.04","1.8","-0.25","2","1.9","-0.25"
"4","E0",2004-08-14,"Man City","Fulham",1,1,"D",1,0,"H","M Messias",12,4,5,2,14,12,9,4,0,2,0,0,"2.1","3.25","3.4","2.1","3.2","3.3","2.1","3.25","3.25","2","3.1","3.2","2.1","3.2","3","2","3.25","3.4","2.05","3.1","3.2","1.85","1.85","1.9","1.9","1.85","2","-0.25","1.78","2.06","-0.25","1.85","2.05","-0.25"
"5","E0",2004-08-14,"Middlesbrough","Newcastle",2,2,"D",0,1,"A","S Bennett",15,11,8,4,16,13,6,7,3,1,0,0,"2.3","3.25","3","2.4","3.2","2.7","2.35","3.15","2.95","2.3","3.1","2.6","2.25","3.2","2.75","2.3","3.25","2.8","2.37","3","2.7","1.9","1.79","2","1.8","0","0","0","1.94","1.9","-0.25","1.8","2.1","0"
"6","E0",2004-08-14,"Norwich","Crystal Palace",1,1,"D",1,0,"H","P Walton",14,14,10,8,14,16,6,11,0,1,0,0,"2.1","3.25","3.4","2.1","3.2","3.3","2.15","3.2","3.2","1.9","3.1","3.5","1.91","3.2","3.5","2.1","3.25","3.2","2","3.1","3.3","1.9","1.79","1.95","1.85","1.9","1.95","-0.25","1.8","2.04","-0.25","1.825","2.075","-0.25"
"7","E0",2004-08-14,"Portsmouth","Birmingham",1,1,"D",1,1,"D","H Webb",14,16,8,11,13,16,8,4,2,4,0,0,"2.4","3.2","2.87","2.25","3.2","3","2.45","3.2","2.8","2.3","3","2.7","2.38","3.2","2.6","2.3","3.2","2.8","2.3","3.2","2.62","1.95","1.75","2","1.8","1.85","2","0","2.08","1.76","-0.25","1.8","2.1","0"
"8","E0",2004-08-14,"Tottenham","Liverpool",1,1,"D",0,1,"A","D Gallagher",14,16,7,8,17,11,3,8,3,1,0,0,"3.1","3.2","2.25","3","3.2","2.25","2.75","3.2","2.4","2.7","3","2.3","2.75","3.2","2.25","3","3.2","2.2","2.75","3.1","2.3","1.85","1.85","1.9","1.9","1.95","1.9","0.25","2.04","1.8","0.25","1.975","1.925","0.25"
"9","E0",2004-08-15,"Chelsea","Man United",1,0,"H",1,0,"H","G Poll",8,11,5,3,17,8,2,3,0,0,0,0,"2.1","3.25","3.4","2.15","3.1","3.2","2.1","3.25","3.35","2","3.1","3.2","2.1","3.2","3","2.1","3.25","3.2","2","3.2","3.2","1.9","1.79","1.95","1.85","1.6","2.2","0","2","1.84","-0.5","1.85","2.05","-0.25"
"10","E0",2004-08-15,"Everton","Arsenal",1,4,"A",0,2,"A","M Riley",9,18,5,14,14,19,0,7,2,1,0,0,"6","3.4","1.61","5","3.4","1.7","4.75","3.3","1.77","4","3.2","1.75","5","3.25","1.62","5","3.3","1.67","5.5","3.1","1.61","1.75","1.95","1.9","1.9","1.95","1.9","0.75","1.96","1.88","0.75","2.05","1.85","0.75"
"11","E0",2004-08-21,"Birmingham","Chelsea",0,1,"A",0,0,"D","B Knight",9,7,3,3,10,16,8,2,0,0,0,0,"4.5","3.2","1.83","4.25","3.4","1.75","4.5","3.25","1.83","3.8","3.1","1.8","4.33","3.2","1.73","4.5","3.4","1.73","4.33","2.87","1.83","1.9","1.79","1.95","1.85","1.9","1.95","0.75","1.88","1.96","0.75","1.9","2","0.75"
"12","E0",2004-08-21,"Charlton","Portsmouth",2,1,"H",1,0,"H","A Wiley",18,10,14,6,9,11,5,6,0,1,0,0,"2","3.2","3.75","1.9","3.25","3.75","2.05","3.3","3.5","1.9","3.1","3.5","1.8","3.25","3.75","2","3.2","3.5","1.83","3.2","3.75","1.85","1.85","1.9","1.9","1.7","2.05","-0.25","2.04","1.8","-0.5","2.075","1.825","-0.5"
"13","E0",2004-08-21,"Crystal Palace","Everton",1,3,"A",1,1,"D","M Clattenburg",15,14,9,7,6,18,6,6,1,1,0,1,"2.3","3.25","3","2.25","3.1","3","2.35","3.2","2.95","2.1","3","3.1","2.2","3.2","2.8","2.3","3.2","2.88","2.2","3.2","2.8","1.85","1.85","1.95","1.85","2","1.75","-0.25","1.8","2.04","0","1.8","2.1","0"
