"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"1",1,"2000-08-19","Charlton","Man City","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie","Nicky Weaver","Richard Edghill","Gerard Wiekens","Steve Howey","Spencer Prior","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Mark Kennedy","Paulo Wanchope","George Weah"
"2",2,"2000-08-19","Chelsea","West Ham","Ed De Goey","Mario Melchiot","Christian Panucci","Marcel Desailly","Celestine Babayaro","Roberto Di Matteo","Gus Poyet","Mario Stanic","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola","Shaka Hislop","Stuart Pearce","Igor Stimac","Javier Margas","Nigel Winterburn","Michael Carrick","Frank Lampard","Steve Lomas","Paolo Di Canio","Frederic Kanoute","Davor Suker"
"3",3,"2000-08-19","Coventry","Middlesbrough","Magnus Hedman","Gary Breen","Colin Hendry","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","David Thompson","Craig Bellamy","Cedric Roussel","Mark Schwarzer","Curtis Fleming","Steve Vickers","Colin Cooper","Gary Pallister","Paul Ince","Christian Karembeu","Keith O'Neill","Alen Boksic","Brian Deane","Joseph-Desire Job"
"4",4,"2000-08-19","Derby","Southampton","Mart Poom","Danny Higginbotham","Con Blatsis","Bjorn Otto Bragstad","Rory Delap","Stefano Eranio","Seth Johnson","Darryl Powell","Simo Valakari","Lee Morris","Branko Strupar","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Mark Draper","Hassan Kachloul","Chris Marsden","Matt Oakley","Kevin Davies","Uwe Rosler"
"5",5,"2000-08-19","Leeds","Everton","Nigel Martyn","Garry Kelly","Lucas Radebe","Jonathan Woodgate","Ian Harte","Eirik Bakke","Lee Bowyer","Olivier Dacourt","Alan Smith","Michael Bridges","Mark Viduka","Paul Gerrard","Alessandro Pistone","David Unsworth","Steve Watson","David Weir","Michael Ball","Scot Gemmill","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers"
"6",6,"2000-08-19","Leicester","Aston Villa","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Callum Davidson","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Stan Collymore","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","David Ginola","Lee Hendrie","Paul Merson","Steve Stone"
"7",7,"2000-08-19","Liverpool","Bradford","Sander Westerveld","Markus Babbel","Djimi Traore","Stephane Henchoz","Sami Hyypia","Steven Gerrard","Dietmar Hamann","Vladimir Smicer","Nick Barmby","Emile Heskey","Michael Owen","Matt Clarke","Peter Atherton","Andy O'Brien","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Gareth Whalley","Dean Windass"
"8",8,"2000-08-19","Sunderland","Arsenal","Thomas Sorensen","Chris Makin","Paul Butler","Stanislav Varga","Darren Holloway","Kevin Kilbane","Michael Gray","Eric Roy","Paul Thirlwell","Kevin Phillips","Niall Quinn","David Seaman","Lee Dixon","Tony Adams","Martin Keown","Gilles Grimandi"," Silvinho","Freddie Ljungberg","Ray Parlour","Patrick Vieira","Thierry Henry","Nwankwo Kanu"
"9",9,"2000-08-19","Tottenham","Ipswich","Neil Sullivan","Stephen Carr","Sol Campbell","Chris Perry","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Steffen Iversen","Sergei Rebrov","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Gary Croft","Matt Holland","Jim Magilton","James Scowcroft","David Johnson","Marcus Stewart"
"10",10,"2000-08-20","Man United","Newcastle","Fabien Barthez","Gary Neville","Ronny Johnsen","Jaap Stam","Phil Neville","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Andrew Cole","Teddy Sheringham","Shay Given","Warren Barton","Aaron Hughes","Nikos Dabizas","Alain Goma"," Marcelino","Gary Speed","Daniel Cordone","Rob Lee","Carl Cort","Alan Shearer"
"11",11,"2000-08-21","Arsenal","Liverpool","David Seaman","Oleg Luzhny","Tony Adams","Martin Keown","Gilles Grimandi","Bissan Lauren"," Silvinho","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry","Sander Westerveld","Markus Babbel","Djimi Traore","Stephane Henchoz","Sami Hyypia","Jamie Carragher","Dietmar Hamann","Gary McAllister","Vladimir Smicer","Nick Barmby","Emile Heskey"
"12",12,"2000-08-22","Bradford","Chelsea","Matt Clarke","Peter Atherton","Andy O'Brien","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Benito Carbone","Dean Windass","Ed De Goey","Mario Melchiot","Marcel Desailly","Emerson Thome","Celestine Babayaro","Roberto Di Matteo","Jody Morris","Gus Poyet","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola"
"13",13,"2000-08-22","Ipswich","Man United","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","David Johnson","Marcus Stewart","Fabien Barthez","Gary Neville","Jaap Stam","Phil Neville","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Ronnie Wallwork","Ole Gunnar Solskjaer","Dwight Yorke"
"14",14,"2000-08-22","Middlesbrough","Tottenham","Mark Schwarzer","Curtis Fleming","Steve Vickers","Gary Pallister","Christian Karembeu","Keith O'Neill","Paul Okon","Mark Summerbell","Brian Deane","Joseph-Desire Job","Hamilton Ricard","Neil Sullivan","Stephen Carr","Sol Campbell","Chris Perry","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Steffen Iversen","Sergei Rebrov"
"15",15,"2000-08-23","Everton","Charlton","Paul Gerrard","Alessandro Pistone","Steve Watson","David Weir","Richard Gough","Paul Gascoigne","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie"
"16",16,"2000-08-23","Man City","Sunderland","Nicky Weaver","Richard Edghill","Gerard Wiekens","Steve Howey","Spencer Prior","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Mark Kennedy","Paulo Wanchope","George Weah","Jurgen Macho","Chris Makin","Paul Butler","Stanislav Varga","Darren Holloway","Kevin Kilbane","Michael Gray","Don Hutchison","Paul Thirlwell","Kevin Phillips","Niall Quinn"
"17",17,"2000-08-23","Newcastle","Derby","Shay Given","Warren Barton","Didier Domi","Aaron Hughes","Nikos Dabizas","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Carl Cort","Alan Shearer","Mart Poom","Danny Higginbotham","Con Blatsis","Bjorn Otto Bragstad","Steve Elliott","Stefano Eranio","Seth Johnson","Darryl Powell","Simo Valakari","Deon Burton","Branko Strupar"
"18",18,"2000-08-23","Southampton","Coventry","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Mark Draper","Hassan Kachloul","Chris Marsden","Matt Oakley","Kevin Davies","Uwe Rosler","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel"
"19",19,"2000-08-23","West Ham","Leicester","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Javier Margas","Nigel Winterburn","Michael Carrick","Steve Lomas","Paolo Di Canio","Frederic Kanoute","Davor Suker","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi"
"20",20,"2000-08-26","Arsenal","Charlton","David Seaman","Lee Dixon","Tony Adams","Martin Keown","Gilles Grimandi","Bissan Lauren"," Silvinho","Robert Pires","Patrick Vieira","Thierry Henry","Nwankwo Kanu","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie"
"21",21,"2000-08-26","Bradford","Leicester","Matt Clarke","Peter Atherton","Andy O'Brien","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Benito Carbone","Dean Windass","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi"
"22",22,"2000-08-26","Everton","Derby","Paul Gerrard","David Unsworth","Steve Watson","David Weir","Richard Gough","Niclas Alexandersson","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Francis Jeffers","Joe-Max Moore","Mart Poom","Danny Higginbotham","Richard Jackson","Bjorn Otto Bragstad","Steve Elliott","Stefano Eranio","Seth Johnson","Adam Murray","Simo Valakari","Deon Burton","Branko Strupar"
"23",23,"2000-08-26","Ipswich","Sunderland","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","David Johnson","Marcus Stewart","Jurgen Macho","Chris Makin","Paul Butler","Jody Craddock","Darren Holloway","Kevin Kilbane","Michael Gray","Don Hutchison","Paul Thirlwell","Kevin Phillips","Niall Quinn"
"24",24,"2000-08-26","Man City","Coventry","Nicky Weaver","Richard Edghill","Gerard Wiekens","Steve Howey","Spencer Prior","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Mark Kennedy","Paulo Wanchope","George Weah","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel"
