"","season","team","name","MV"
"1","20062007","Chelsea","Petr Cech",20700000
"2","20062007","Chelsea","Carlo Cudicini",2700000
"3","20062007","Chelsea","Magnus Hedman",1670000
"4","20062007","Chelsea","Henrique Hilário",450000
"5","20062007","Chelsea","Yves Makabu-Makalambay",68000
"6","20062007","Chelsea","Rhys Taylor",0
"7","20062007","Chelsea","John Terry",2.7e+07
"8","20062007","Chelsea","Ricardo Carvalho",15750000
"9","20062007","Chelsea","William Gallas",13230000
"10","20062007","Chelsea","Khalid Boulahrouz",9450000
"11","20062007","Chelsea","Robert Huth",2480000
"12","20062007","Chelsea","Michael Mancienne",225000
"13","20062007","Chelsea","Ashley Cole",15300000
"14","20062007","Chelsea","Wayne Bridge",6980000
"15","20062007","Chelsea","Jonas Elmer",180000
"16","20062007","Chelsea","Ryan Bertrand",0
"17","20062007","Chelsea","Paulo Ferreira",11700000
"18","20062007","Chelsea","Njitap Geremi",4500000
"19","20062007","Chelsea","Michael Essien",25200000
"20","20062007","Chelsea","Claude Makélélé",8100000
"21","20062007","Chelsea","Lassana Diarra",2700000
"22","20062007","Chelsea","Nuno Morais",9e+05
"23","20062007","Chelsea","John Mikel Obi",0
"24","20062007","Chelsea","Sam Hutchinson",0
"25","20062007","Chelsea","Frank Lampard",34650000
"26","20062007","Chelsea","Michael Ballack",31500000
"27","20062007","Chelsea","Michael Woods",45000
"28","20062007","Chelsea","Jimmy Smith",0
"29","20062007","Chelsea","Lee Sawyer",0
"30","20062007","Chelsea","Scott Sinclair",45000
"31","20062007","Chelsea","Joe Cole",14850000
"32","20062007","Chelsea","Salomon Kalou",7650000
"33","20062007","Chelsea","Arjen Robben",23130000
"34","20062007","Chelsea","Shaun Wright-Phillips",14400000
"35","20062007","Chelsea","Andriy Shevchenko",45900000
"36","20062007","Chelsea","Didier Drogba",22050000
"37","20062007","Chelsea","Ben Sahar",0
"38","20062007","Man United","Edwin van der Sar",4500000
"39","20062007","Man United","Tomasz Kuszczak",3150000
"40","20062007","Man United","Tom Heaton",90000
"41","20062007","Man United","Rio Ferdinand",22500000
"42","20062007","Man United","Gabriel Heinze",14630000
"43","20062007","Man United","Nemanja Vidic<U+200E>",7650000
"44","20062007","Man United","Mikaël Silvestre",6080000
"45","20062007","Man United","John O'Shea",4500000
"46","20062007","Man United","Wes Brown",4320000
"47","20062007","Man United","Ryan Shawcross",0
"48","20062007","Man United","Jonny Evans",0
"49","20062007","Man United","Craig Cathcart",0
"50","20062007","Man United","Patrice Evra",5850000
