"","name","MV","season"
"1","Petr Cech",20700000,"20062007"
"2","Carlo Cudicini",2700000,"20062007"
"3","Magnus Hedman",1670000,"20062007"
"4","Henrique Hilário",450000,"20062007"
"5","Yves Makabu-Makalambay",68000,"20062007"
"6","Rhys Taylor",0,"20062007"
"7","John Terry",2.7e+07,"20062007"
"8","Ricardo Carvalho",15750000,"20062007"
"9","William Gallas",13230000,"20062007"
"10","Khalid Boulahrouz",9450000,"20062007"
"11","Robert Huth",2480000,"20062007"
"12","Michael Mancienne",225000,"20062007"
"13","Ashley Cole",15300000,"20062007"
"14","Wayne Bridge",6980000,"20062007"
"15","Jonas Elmer",180000,"20062007"
"16","Ryan Bertrand",0,"20062007"
"17","Paulo Ferreira",11700000,"20062007"
"18","Njitap Geremi",4500000,"20062007"
"19","Michael Essien",25200000,"20062007"
"20","Claude Makélélé",8100000,"20062007"
"21","Lassana Diarra",2700000,"20062007"
"22","Nuno Morais",9e+05,"20062007"
"23","John Obi",0,"20062007"
"24","Sam Hutchinson",0,"20062007"
"25","Frank Lampard",34650000,"20062007"
"26","Michael Ballack",31500000,"20062007"
"27","Michael Woods",45000,"20062007"
"28","Jimmy Smith",0,"20062007"
"29","Lee Sawyer",0,"20062007"
"30","Scott Sinclair",45000,"20062007"
"31","Joe Cole",14850000,"20062007"
"32","Salomon Kalou",7650000,"20062007"
"33","Arjen Robben",23130000,"20062007"
"34","Shaun Wright-Phillips",14400000,"20062007"
"35","Andriy Shevchenko",45900000,"20062007"
"36","Didier Drogba",22050000,"20062007"
"37","Ben Sahar",0,"20062007"
"38","Edwin van Sar",4500000,"20062007"
"39","Tomasz Kuszczak",3150000,"20062007"
"40","Tom Heaton",90000,"20062007"
"41","Rio Ferdinand",22500000,"20062007"
"42","Gabriel Heinze",14630000,"20062007"
"43","Nemanja Vidic<U+200E>",7650000,"20062007"
"44","Mikaël Silvestre",6080000,"20062007"
"45","John O'Shea",4500000,"20062007"
"46","Wes Brown",4320000,"20062007"
"47","Ryan Shawcross",0,"20062007"
"48","Jonny Evans",0,"20062007"
"49","Craig Cathcart",0,"20062007"
"50","Patrice Evra",5850000,"20062007"
"51","Kieran Richardson",4500000,"20062007"
"52","Adam Eckersley",0,"20062007"
"53","Gary Neville",6300000,"20062007"
"54","Danny Simpson",45000,"20062007"
"55","David Gray",0,"20062007"
"56","Michael Carrick",7470000,"20062007"
