"","season","stats_date","team","name","fifa_score"
"10608","20182019","17794","Man City","Ederson","86"
"10609","20182019","17794","Man City","Kyle Walker","84"
"10610","20182019","17794","Man City","Vincent Kompany","85"
"10611","20182019","17794","Man City","Nicolas Otamendi","86"
"10612","20182019","17794","Man City","Benjamin Mendy","81"
"10613","20182019","17794","Man City","Fernandinho","86"
"10614","20182019","17794","Man City","Kevin De Bruyne","91"
"10615","20182019","17794","Man City","David Silva","89"
"10616","20182019","17794","Man City","Raheem Sterling","85"
"10617","20182019","17794","Man City","Sergio Aguero","89"
"10618","20182019","17794","Man City","Leroy Sane","86"
"10619","20182019","17794","Man City","Oleksandr Zinchenko","71"
"10620","20182019","17794","Man City","Riyad Mahrez","85"
"10621","20182019","17794","Man City","Bernardo Silva","84"
"10622","20182019","17794","Man City","Ilkay Gundogan","84"
"10623","20182019","17794","Man City","Aymeric Laporte","83"
"10624","20182019","17794","Man City","John Stones","82"
"10625","20182019","17794","Man City","Arijanet Muric","61"
"10626","20182019","17794","Man City","Gabriel Jesus","83"
"10627","20182019","17794","Man City","Phil Foden","73"
"10628","20182019","17794","Man City","Fabian Delph","80"
"10629","20182019","17794","Man City","Danilo","79"
"10630","20182019","17794","Man City","Brahim Diaz","69"
"10631","20182019","17794","Man City","Claudio Bravo","79"
"10632","20182019","17794","Man City","Eliaquim Mangala","77"
"10633","20182019","17794","Man City","Philippe Sandler","69"
"10634","20182019","17794","Man City","Daniel Grimshaw","54"
"10635","20182019","17794","Man City","Claudio Gomes","66"
"10636","20182019","17794","Man City","Eric Garcia","62"
"10637","20182019","17794","Man City","Luke Bolton","61"
"10638","20182019","17794","Man City","Cameron Humphreys-Grant","62"
"10639","20182019","17794","Man City","Chidiebere Nwakali","64"
"10640","20182019","17794","Man City","Aaron Nemane","60"
"10641","20182019","17794","Tottenham","Hugo Lloris","88"
"10642","20182019","17794","Tottenham","Kieran Trippier","82"
"10643","20182019","17794","Tottenham","Toby Alderweireld","85"
"10644","20182019","17794","Tottenham","Jan Vertonghen","87"
"10645","20182019","17794","Tottenham","Ben Davies","81"
"10646","20182019","17794","Tottenham","Eric Dier","80"
"10647","20182019","17794","Tottenham","Moussa Dembele","84"
"10648","20182019","17794","Tottenham","Christian Eriksen","88"
"10649","20182019","17794","Tottenham","Heung Min Son","84"
"10650","20182019","17794","Tottenham","Dele Alli","84"
"10651","20182019","17794","Tottenham","Harry Kane","89"
"10652","20182019","17794","Tottenham","Erik Lamela","80"
"10653","20182019","17794","Tottenham","Victor Wanyama","80"
"10654","20182019","17794","Tottenham","Davinson Sanchez","84"
"10655","20182019","17794","Tottenham","Serge Aurier","81"
"10656","20182019","17794","Tottenham","Michel Vorm","78"
"10657","20182019","17794","Tottenham","Llorente","77"
"10658","20182019","17794","Tottenham","Lucas","82"
"10659","20182019","17794","Tottenham","Moussa Sissoko","76"
"10660","20182019","17794","Tottenham","Danny Rose","80"
"10661","20182019","17794","Tottenham","Harry Winks","76"
"10662","20182019","17794","Tottenham","Juan Foyth","70"
"10663","20182019","17794","Tottenham","Kyle Walker-Peters","69"
"10664","20182019","17794","Tottenham","Tashan Oakley-Boothe","64"
"10665","20182019","17794","Tottenham","Paulo Gazzaniga","70"
"10666","20182019","17794","Tottenham","Oliver Skipp","64"
"10667","20182019","17794","Tottenham","Luke Amos","65"
"10668","20182019","17794","Tottenham","Anthony Georgiou","62"
"10669","20182019","17794","Tottenham","Kazaiah Sterling","61"
"10670","20182019","17794","Tottenham","Brandon Austin","57"
"10671","20182019","17794","Tottenham","Japhet Tanganga","62"
"10672","20182019","17794","Tottenham","Vincent Janssen","76"
"10673","20182019","17794","Tottenham","Shayon Harrison","61"
"10674","20182019","17794","Liverpool","Alisson","85"
"10675","20182019","17794","Liverpool","Trent Alexander-Arnold","78"
"10676","20182019","17794","Liverpool","Dejan Lovren","81"
"10677","20182019","17794","Liverpool","Virgil van Dijk","85"
