"","Team","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"1","Arsenal",2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5
"2","Aston Villa",6,8,8,16,6,10,16,11,6,6,6,9,16,15,15,17,20,NA
"3","Birmingham",NA,NA,NA,13,10,12,18,NA,19,NA,9,18,NA,NA,NA,NA,NA,NA
"4","Blackburn",NA,NA,10,6,15,15,6,10,7,15,10,15,19,NA,NA,NA,NA,NA
"5","Blackpool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA
"6","Bolton",NA,NA,16,17,8,6,8,7,16,13,14,14,18,NA,NA,NA,NA,NA
"7","Bournemouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9
"8","Bradford",17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Brighton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Burnley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,19,NA,16
"11","Cardiff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
"12","Charlton",NA,9,14,12,7,11,13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Chelsea",5,6,6,4,2,1,1,2,2,3,1,2,6,3,3,1,10,1
"14","Coventry",14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Crystal Palace",NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,11,10,15,14
"16","Derby",16,17,19,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Everton",13,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7
"18","Fulham",NA,NA,13,14,9,13,12,NA,17,7,12,8,9,12,19,NA,NA,NA
"19","Huddersfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Hull",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19,NA,NA,NA,16,18,NA,18
"21","Ipswich",NA,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Leeds",3,4,5,15,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Leicester",8,13,20,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,12
"24","Liverpool",4,3,2,5,4,5,3,3,4,2,7,6,8,7,2,6,8,4
"25","Man City",NA,18,NA,9,16,8,15,14,9,10,5,3,1,2,1,2,4,3
"26","Man United",1,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6
"28","Middlesbrough",12,14,12,11,11,7,14,12,13,19,NA,NA,NA,NA,NA,NA,NA,19
"29","Newcastle",11,11,4,3,5,14,7,13,12,18,NA,12,5,16,10,15,18,NA
"30","Norwich",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,12,11,18,NA,19,NA
"31","Portsmouth",NA,NA,NA,NA,13,16,17,9,8,14,20,NA,NA,NA,NA,NA,NA,NA
"32","QPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,20,NA,NA,NA,NA
"33","Reading",NA,NA,NA,NA,NA,NA,NA,8,18,NA,NA,NA,NA,19,NA,20,NA,NA
"34","Sheffield United",19,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Southampton",15,10,11,8,12,20,NA,NA,NA,NA,NA,NA,NA,14,8,7,6,8
"36","Stoke",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,13,14,13,9,9,9,13
"37","Sunderland",7,7,17,20,NA,NA,20,NA,15,16,13,10,13,17,14,16,17,20
"38","Swansea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,12,8,12,15
"39","Tottenham",10,12,9,10,15,9,5,5,11,8,4,5,4,5,6,5,3,2
"40","Watford",20,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,13,17
"41","West Brom",NA,NA,NA,19,NA,17,19,NA,NA,20,NA,11,10,8,17,13,14,10
"42","West Ham",9,15,7,18,NA,NA,9,15,10,9,17,20,NA,10,13,12,7,11
"43","Wigan",NA,NA,NA,NA,NA,NA,10,NA,14,11,16,16,15,18,NA,NA,NA,NA
"44","Wolves",NA,NA,NA,NA,20,NA,NA,NA,NA,NA,15,17,20,NA,NA,NA,NA,NA
"45","Wimbledon",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
