"","Arsenal","Aston Villa","Birmingham","Blackburn","Blackpool","Bolton","Bournemouth","Bradford","Brighton","Burnley","Cardiff","Charlton","Chelsea","Coventry","Crystal Palace","Derby","Everton","Fulham","Huddersfield","Hull","Ipswich","Leeds","Leicester","Liverpool","Man City","Man United","Middlesbrough","Newcastle","Norwich","Portsmouth","QPR","Reading","Sheffield United","Southampton","Stoke","Sunderland","Swansea","Tottenham","Watford","West Brom","West Ham","Wigan","Wolves","Wimbledon"
"Arsenal",0,162,158,291,319,279,151,274,77,287,214,13,10,138,17,177,285,12,259,245,103,266,138,285,257,259,345,394,153,108,10,62,222,115,213,384,265,6,23,166,7,281,180,21
"Aston Villa",162,0,4,142,164,127,197,144,222,144,146,174,163,27,175,54,126,162,128,171,212,143,52,125,110,110,235,275,216,199,159,136,100,182,57,270,170,160,139,5,167,127,19,165
"Birmingham",158,4,0,146,168,131,194,148,218,148,144,171,160,25,171,57,130,159,131,173,211,146,52,129,114,114,238,279,216,195,155,132,103,178,61,273,169,157,136,7,164,130,22,161
"Blackburn",291,142,146,0,38,17,336,49,359,18,255,302,294,157,306,114,45,294,48,140,307,61,153,46,33,32,126,150,282,341,290,276,78,323,85,150,252,288,271,140,296,23,129,299
"Blackpool",319,164,168,38,0,42,351,85,385,54,260,332,323,183,334,145,41,322,86,176,342,97,183,42,66,63,147,160,319,361,318,300,115,342,108,164,248,317,299,161,325,39,148,326
"Bolton",279,127,131,17,42,0,320,57,346,31,239,291,282,144,294,104,33,282,51,144,300,67,142,33,25,21,141,166,278,326,278,262,74,308,70,166,236,276,259,125,284,9,114,286
"Bournemouth",151,197,194,336,351,320,0,342,124,341,126,155,142,192,143,244,311,140,325,350,254,339,215,310,307,305,430,472,302,55,141,97,294,37,252,466,178,157,143,198,156,318,207,132
"Bradford",274,144,148,49,85,57,342,0,347,31,277,285,279,152,291,101,89,279,17,92,275,13,138,90,46,52,93,131,243,338,275,270,52,324,95,126,282,270,257,145,278,66,137,285
"Brighton",77,222,218,359,385,346,124,347,0,357,228,70,69,202,60,247,348,69,331,322,158,340,209,347,326,326,421,469,218,69,73,89,295,92,277,460,282,83,90,225,75,347,239,62
"Burnley",287,144,148,18,54,31,341,31,357,0,266,299,291,157,303,110,62,291,34,123,298,43,149,63,34,37,110,138,269,342,287,277,68,326,89,137,265,284,268,144,292,39,134,296
"Cardiff",214,146,144,255,260,239,126,277,228,266,0,224,209,159,216,200,219,207,261,317,306,279,190,218,234,230,370,404,334,167,206,154,241,141,182,402,54,217,195,143,221,234,144,203
"Charlton",13,174,171,302,332,291,155,285,70,299,224,0,16,150,13,188,298,18,270,253,99,277,150,297,269,271,354,404,154,109,19,71,233,119,225,393,275,15,35,178,7,293,193,24
"Chelsea",10,163,160,294,323,282,142,279,69,291,209,16,0,140,12,181,288,2,264,252,112,272,143,287,261,263,351,400,163,98,4,55,227,105,215,390,260,16,24,167,14,284,181,11
"Coventry",138,27,25,157,183,144,192,152,202,157,159,150,140,0,152,52,148,139,135,163,185,148,31,147,125,125,238,281,191,186,136,119,103,172,76,275,190,136,116,32,143,145,46,143
"Crystal Palace",17,175,171,306,334,294,143,291,60,303,216,13,12,152,0,193,300,13,276,262,112,283,154,299,273,274,362,411,166,96,16,62,239,106,227,401,268,23,36,179,16,296,193,14
"Derby",177,54,57,114,145,104,244,101,247,110,200,188,181,52,193,0,117,181,85,117,200,96,39,116,81,83,186,230,188,237,177,169,51,224,50,223,221,174,158,57,182,107,59,186
"Everton",285,126,130,45,41,33,311,89,348,62,219,298,288,148,300,117,0,287,83,175,317,100,152,1,51,45,171,192,300,322,284,262,100,302,73,194,210,283,264,123,291,24,110,291
"Fulham",12,162,159,294,322,282,140,279,69,291,207,18,2,139,13,181,287,0,264,253,114,272,142,286,261,262,352,401,165,96,4,53,227,103,215,391,258,18,23,166,16,284,180,9
"Huddersfield",259,128,131,48,86,51,325,17,331,34,261,270,264,135,276,85,83,264,0,93,265,19,122,83,34,41,109,147,235,322,260,254,37,307,79,142,268,256,241,128,264,60,121,270
"Hull",245,171,173,140,176,144,350,92,322,123,317,253,252,163,262,117,175,253,93,0,214,79,136,175,125,131,108,159,168,332,249,262,84,324,147,146,336,239,233,174,247,152,174,261
"Ipswich",103,212,211,307,342,300,254,275,158,298,306,99,112,185,112,200,317,114,265,214,0,265,168,316,276,280,322,373,64,208,113,163,229,217,248,360,352,97,115,218,98,305,231,122
"Leeds",266,143,146,61,97,67,339,13,340,43,279,277,272,148,283,96,100,272,19,79,265,0,132,100,53,59,92,133,231,334,268,265,46,320,97,127,286,263,250,144,270,76,137,278
"Leicester",138,52,52,153,183,142,215,138,209,149,190,150,143,31,154,39,152,142,122,136,168,132,0,152,119,121,218,264,166,203,138,134,86,192,81,256,220,135,119,57,143,144,67,148
"Liverpool",285,125,129,46,42,33,310,90,347,63,218,297,287,147,299,116,1,286,83,175,316,100,152,0,51,45,171,193,300,321,283,261,99,301,72,194,210,283,263,122,290,24,109,290
"Man City",257,110,114,33,66,25,307,46,326,34,234,269,261,125,273,81,51,261,34,125,276,53,119,51,0,6,138,170,254,309,257,244,50,292,55,168,236,254,238,110,262,31,100,265
"Man United",259,110,114,32,63,21,305,52,326,37,230,271,263,125,274,83,45,262,41,131,280,59,121,45,6,0,143,174,258,308,258,244,55,291,53,172,231,256,239,108,264,26,98,267
"Middlesbrough",345,235,238,126,147,141,430,93,421,110,370,354,351,238,362,186,171,352,109,108,322,92,218,171,138,143,0,51,274,421,348,352,135,409,188,39,374,340,331,236,348,148,229,359
"Newcastle",394,275,279,150,160,166,472,131,469,138,404,404,400,281,411,230,192,401,147,159,373,133,264,193,170,174,51,0,325,467,397,398,179,453,224,16,402,389,379,275,397,173,268,407
"Norwich",153,216,216,282,319,278,302,243,218,269,334,154,163,191,166,188,300,165,235,168,64,231,166,300,254,258,274,325,0,261,163,206,204,267,238,311,374,147,159,222,151,284,233,174
"Portsmouth",108,199,195,341,361,326,55,338,69,342,167,109,98,186,96,237,322,96,322,332,208,334,203,321,309,308,421,467,261,0,98,70,288,26,256,459,221,114,106,201,110,325,213,87
"QPR",10,159,155,290,318,278,141,275,73,287,206,19,4,136,16,177,284,4,260,249,113,268,138,283,257,258,348,397,163,98,0,53,224,105,211,387,257,16,20,163,15,280,177,12
"Reading",62,136,132,276,300,262,97,270,89,277,154,71,55,119,62,169,262,53,254,262,163,265,134,261,244,244,352,398,206,70,53,0,219,64,192,390,206,67,48,138,68,262,152,49
"Sheffield United",222,100,103,78,115,74,294,52,295,68,241,233,227,103,239,51,100,227,37,84,229,46,86,99,50,55,135,179,204,288,224,219,0,274,63,172,255,219,205,101,227,81,97,233
"Southampton",115,182,178,323,342,308,37,324,92,326,141,119,105,172,106,224,302,103,307,324,217,320,192,301,292,291,409,453,267,26,105,64,274,0,238,446,195,121,108,183,119,306,194,95
