"","season","team","name","MV"
"1","20182019","Man City","Ederson",4.5e+07
"2","20182019","Man City","Claudio Bravo ",3150000
"3","20182019","Man City","Arijanet Muric",0
"4","20182019","Man City","John Stones",49500000
"5","20182019","Man City","Aymeric Laporte",4.5e+07
"6","20182019","Man City","Nicolás Otamendi",31500000
"7","20182019","Man City","Eliaquim Mangala ",13500000
"8","20182019","Man City","Vincent Kompany ",9e+06
"9","20182019","Man City","Philippe Sandler ",2250000
"10","20182019","Man City","Benjamin Mendy",3.6e+07
"11","20182019","Man City","Kyle Walker .",4.5e+07
"12","20182019","Man City","Danilo",1.8e+07
"13","20182019","Man City","Fernandinho",13500000
"14","20182019","Man City","Ilkay Gündogan",3.6e+07
"15","20182019","Man City","Fabian Delph",13500000
"16","20182019","Man City","Oleksandr Zinchenko",13500000
"17","20182019","Man City","Phil Foden",6300000
"18","20182019","Man City","Kevin De Bruyne ",1.35e+08
"19","20182019","Man City","David Silva",2.7e+07
"20","20182019","Man City","Brahim Díaz",4500000
"21","20182019","Man City","Leroy Sané",8.1e+07
"22","20182019","Man City","Raheem Sterling",8.1e+07
"23","20182019","Man City","Riyad Mahrez",5.4e+07
"24","20182019","Man City","Bernardo Silva",4.5e+07
"25","20182019","Man City","Sergio Agüero",7.2e+07
"26","20182019","Man City","Gabriel Jesus",7.2e+07
"27","20182019","Liverpool","Alisson",5.4e+07
"28","20182019","Liverpool","Simon Mignolet",9e+06
"29","20182019","Liverpool","Virgil van Dijk",4.5e+07
"30","20182019","Liverpool","Joel Matip",22500000
"31","20182019","Liverpool","Joe Gomez",19800000
"32","20182019","Liverpool","Dejan Lovren",1.8e+07
"33","20182019","Liverpool","Andrew Robertson",22500000
"34","20182019","Liverpool","Alberto Moreno",9e+06
"35","20182019","Liverpool","Trent Alexander-Arnold",22500000
"36","20182019","Liverpool","Nathaniel Clyne",1.8e+07
"37","20182019","Liverpool","Fabinho",40500000
"38","20182019","Liverpool","Naby Keïta ",58500000
"39","20182019","Liverpool","Georginio Wijnaldum",2.7e+07
"40","20182019","Liverpool","Jordan Henderson ",25200000
"41","20182019","Liverpool","James Milner",13500000
"42","20182019","Liverpool","Alex Oxlade-Chamberlain ",3.6e+07
"43","20182019","Liverpool","Adam Lallana",22500000
"44","20182019","Liverpool","Sadio Mané",6.3e+07
"45","20182019","Liverpool","Mohamed Salah",1.35e+08
"46","20182019","Liverpool","Xherdan Shaqiri",16200000
"47","20182019","Liverpool","Lazar Markovic",7200000
"48","20182019","Liverpool","Roberto Firmino",7.2e+07
"49","20182019","Liverpool","Daniel Sturridge",13500000
"50","20182019","Liverpool","Divock Origi",9e+06
"51","20182019","Liverpool","Dominic Solanke",9e+06
"52","20182019","Man United","David de Gea",6.3e+07
"53","20182019","Man United","Sergio Romero",4500000
"54","20182019","Man United","Lee Grant",9e+05
"55","20182019","Man United","Eric Bailly",31500000
"56","20182019","Man United","Victor Lindelöf",22500000
"57","20182019","Man United","Phil Jones",1.8e+07
"58","20182019","Man United","Chris Smalling",16200000
"59","20182019","Man United","Marcos Rojo",16200000
"60","20182019","Man United","Luke Shaw",13500000
"61","20182019","Man United","Diogo Dalot ",13500000
"62","20182019","Man United","Matteo Darmian",9e+06
"63","20182019","Man United","Antonio Valencia ",7200000
"64","20182019","Man United","Nemanja Matic",3.6e+07
"65","20182019","Man United","Paul Pogba",8.1e+07
"66","20182019","Man United","Fred",4.5e+07
"67","20182019","Man United","Ander Herrera",2.7e+07
"68","20182019","Man United","Marouane Fellaini",13500000
"69","20182019","Man United","Scott McTominay",6300000
"70","20182019","Man United","Ashley Young",6300000
"71","20182019","Man United","Juan Mata",2.7e+07
"72","20182019","Man United","Andreas Pereira",5400000
"73","20182019","Man United","Alexis Sánchez",6.3e+07
"74","20182019","Man United","Anthony Martial",58500000
"75","20182019","Man United","Jesse Lingard",3.6e+07
"76","20182019","Man United","Romelu Lukaku",9e+07
"77","20182019","Man United","Marcus Rashford",58500000
"78","20182019","Chelsea","Kepa",3.6e+07
"79","20182019","Chelsea","Willy Caballero",9e+05
"80","20182019","Chelsea","Robert Green",225000
"81","20182019","Chelsea","Antonio Rüdiger",3.6e+07
"82","20182019","Chelsea","Andreas Christensen",3.6e+07
"83","20182019","Chelsea","David Luiz",22500000
"84","20182019","Chelsea","Gary Cahill ",13500000
"85","20182019","Chelsea","Ethan Ampadu",4500000
"86","20182019","Chelsea","Marcos Alonso",3.6e+07
"87","20182019","Chelsea","Emerson",1.8e+07
"88","20182019","Chelsea","César Azpilicueta",3.6e+07
"89","20182019","Chelsea","Davide Zappacosta",1.8e+07
"90","20182019","Chelsea","N'Golo Kanté",7.2e+07
"91","20182019","Chelsea","Jorginho",4.5e+07
"92","20182019","Chelsea","Cesc Fàbregas",2.7e+07
"93","20182019","Chelsea","Mateo Kovacic .",2.7e+07
"94","20182019","Chelsea","Danny Drinkwater",1.8e+07
"95","20182019","Chelsea","Ruben Loftus-Cheek",16200000
"96","20182019","Chelsea","Marco van Ginkel ",10800000
"97","20182019","Chelsea","Ross Barkley",22500000
"98","20182019","Chelsea","Eden Hazard",1.08e+08
"99","20182019","Chelsea","PedroP",22500000
"100","20182019","Chelsea","Lucas Piazón",2250000
"101","20182019","Chelsea","Willian",4.5e+07
"102","20182019","Chelsea","Victor Moses",1.8e+07
"103","20182019","Chelsea","Álvaro Morata",58500000
"104","20182019","Chelsea","Olivier Giroud",16200000
"105","20182019","Tottenham","Hugo Lloris ",2.7e+07
"106","20182019","Tottenham","Michel Vorm",2250000
"107","20182019","Tottenham","Paulo Gazzaniga",9e+05
"108","20182019","Tottenham","Toby Alderweireld",3.6e+07
"109","20182019","Tottenham","Davinson Sánchez",3.6e+07
"110","20182019","Tottenham","Jan Vertonghen",28800000
"111","20182019","Tottenham","Juan Foyth",4500000
"112","20182019","Tottenham","Danny Rose",2.7e+07
"113","20182019","Tottenham","Ben Davies",22500000
"114","20182019","Tottenham","Kieran Trippier",2.7e+07
"115","20182019","Tottenham","Serge Aurier",1.8e+07
"116","20182019","Tottenham","Kyle Walker-Peters",2700000
"117","20182019","Tottenham","Eric Dier",3.6e+07
"118","20182019","Tottenham","Victor Wanyama ",2.7e+07
"119","20182019","Tottenham","Mousa Dembélé",16200000
"120","20182019","Tottenham","Moussa Sissoko",16200000
"121","20182019","Tottenham","Harry Winks ",13500000
"122","20182019","Tottenham","Dele Alli",9e+07
"123","20182019","Tottenham","Christian Eriksen",7.2e+07
"124","20182019","Tottenham","Heung-min Son . ",4.5e+07
"125","20182019","Tottenham","Georges-Kevin N'Koudou",6300000
"126","20182019","Tottenham","Lucas Moura",25200000
"127","20182019","Tottenham","Érik Lamela",1.8e+07
"128","20182019","Tottenham","Harry Kane",1.35e+08
"129","20182019","Tottenham","Vincent Janssen ",8100000
"130","20182019","Tottenham","Fernando Llorente",6300000
"131","20182019","Arsenal","Bernd Leno",1.8e+07
"132","20182019","Arsenal","Petr Cech",2700000
"133","20182019","Arsenal","Emiliano Martínez",9e+05
"134","20182019","Arsenal","Shkodran Mustafi",22500000
"135","20182019","Arsenal","Sokratis",1.8e+07
"136","20182019","Arsenal","Laurent Koscielny  ",13500000
"137","20182019","Arsenal","Rob Holding",6300000
"138","20182019","Arsenal","Konstantinos Mavropanos",2700000
"139","20182019","Arsenal","Sead Kolasinac ",16200000
"140","20182019","Arsenal","Nacho Monreal",11700000
"141","20182019","Arsenal","Héctor Bellerín",3.6e+07
"142","20182019","Arsenal","Carl Jenkinson",3150000
"143","20182019","Arsenal","Stephan Lichtsteiner",1350000
"144","20182019","Arsenal","Granit Xhaka",3.6e+07
"145","20182019","Arsenal","Lucas Torreira",2.7e+07
"146","20182019","Arsenal","Mohamed Elneny",9e+06
"147","20182019","Arsenal","Aaron Ramsey",40500000
"148","20182019","Arsenal","Mattéo Guendouzi",6300000
"149","20182019","Arsenal","Ainsley Maitland-Niles",6300000
"150","20182019","Arsenal","Mesut Özil",40500000
"151","20182019","Arsenal","Alex Iwobi",13500000
"152","20182019","Arsenal","Henrikh Mkhitaryan",31500000
"153","20182019","Arsenal","Pierre-Emerick Aubameyang",67500000
"154","20182019","Arsenal","Alexandre Lacazette",5.4e+07
"155","20182019","Arsenal","Danny Welbeck",13500000
"156","20182019","Everton","Jordan Pickford",31500000
"157","20182019","Everton","Maarten Stekelenburg",9e+05
"158","20182019","Everton","Mateusz Hewelt",0
"159","20182019","Everton","Yerry Mina ",2.7e+07
"160","20182019","Everton","Michael Keane",1.8e+07
"161","20182019","Everton","Kurt Zouma",13500000
"162","20182019","Everton","Mason Holgate",6300000
"163","20182019","Everton","Phil Jagielka ",1350000
"164","20182019","Everton","Tyias Browning",9e+05
"165","20182019","Everton","Lucas Digne",16200000
"166","20182019","Everton","Leighton Baines",7200000
"167","20182019","Everton","Brendan Galloway",2700000
"168","20182019","Everton","Seamus Coleman",10800000
"169","20182019","Everton","Jonjoe Kenny",4500000
