"","name","MV","season"
"1","Petr CechPetr Cech","£20.70m  ","20062007"
"2","Carlo CudiciniC. Cudicini","£2.70m  ","20062007"
"3","Magnus HedmanM. Hedman","£1.67m  ","20062007"
"4","Henrique HilárioH. Hilário","£450k  ","20062007"
"5","Yves Makabu-MakalambayY. Makabu-Makalambay","£68k  ","20062007"
"6","Rhys TaylorR. Taylor"," ","20062007"
"7","John TerryJ. Terry","£27.00m  ","20062007"
"8","Ricardo CarvalhoR. Carvalho","£15.75m  ","20062007"
"9","William GallasW. Gallas","£13.23m  ","20062007"
"10","Khalid BoulahrouzK. Boulahrouz","£9.45m  ","20062007"
"11","Robert HuthR. Huth","£2.48m  ","20062007"
"12","Michael MancienneM. Mancienne","£225k  ","20062007"
"13","Ashley ColeA. Cole","£15.30m  ","20062007"
"14","Wayne BridgeW. Bridge","£6.98m  ","20062007"
"15","Jonas ElmerJ. Elmer","£180k  ","20062007"
"16","Ryan BertrandR. Bertrand"," ","20062007"
"17","Paulo FerreiraP. Ferreira","£11.70m  ","20062007"
"18","Njitap GeremiN. Geremi","£4.50m  ","20062007"
"19","Michael EssienM. Essien","£25.20m  ","20062007"
"20","Claude MakéléléC. Makélélé","£8.10m  ","20062007"
"21","Lassana DiarraL. Diarra","£2.70m  ","20062007"
"22","Nuno MoraisN. Morais","£900k  ","20062007"
"23","John Mikel ObiJ. Obi"," ","20062007"
"24","Sam HutchinsonS. Hutchinson"," ","20062007"
"25","Frank LampardF. Lampard","£34.65m  ","20062007"
"26","Michael BallackM. Ballack","£31.50m  ","20062007"
"27","Michael WoodsM. Woods","£45k  ","20062007"
"28","Jimmy SmithJ. Smith"," ","20062007"
"29","Lee SawyerL. Sawyer"," ","20062007"
"30","Scott SinclairS. Sinclair","£45k  ","20062007"
"31","Joe ColeJoe Cole","£14.85m  ","20062007"
"32","Salomon KalouS. Kalou","£7.65m  ","20062007"
"33","Arjen RobbenA. Robben","£23.13m  ","20062007"
"34","Shaun Wright-PhillipsS. Wright-Phillips","£14.40m  ","20062007"
"35","Andriy ShevchenkoA. Shevchenko","£45.90m  ","20062007"
"36","Didier DrogbaD. Drogba","£22.05m  ","20062007"
"37","Ben SaharBen Sahar"," ","20062007"
"38","Edwin van der SarE. van der Sar","£4.50m  ","20062007"
"39","Tomasz KuszczakT. Kuszczak","£3.15m  ","20062007"
"40","Tom HeatonT. Heaton","£90k  ","20062007"
"41","Rio FerdinandR. Ferdinand","£22.50m  ","20062007"
"42","Gabriel HeinzeG. Heinze","£14.63m  ","20062007"
"43","Nemanja Vidic<U+200E>N. Vidic<U+200E>","£7.65m  ","20062007"
"44","Mikaël SilvestreM. Silvestre","£6.08m  ","20062007"
"45","John O'SheaJ. O'Shea","£4.50m  ","20062007"
"46","Wes BrownWes Brown","£4.32m  ","20062007"
"47","Ryan ShawcrossR. Shawcross"," ","20062007"
"48","Jonny EvansJ. Evans"," ","20062007"
"49","Craig CathcartC. Cathcart"," ","20062007"
"50","Patrice EvraP. Evra","£5.85m  ","20062007"
"51","Kieran RichardsonK. Richardson","£4.50m  ","20062007"
"52","Adam EckersleyA. Eckersley"," ","20062007"
"53","Gary NevilleG. Neville","£6.30m  ","20062007"
"54","Danny SimpsonD. Simpson","£45k  ","20062007"
"55","David GrayD. Gray"," ","20062007"
"56","Michael CarrickM. Carrick","£7.47m  ","20062007"
"57","Floribert NgalulaF. Ngalula","£225k  ","20062007"
"58","Kieran LeeK. Lee"," ","20062007"
"59","Paul ScholesP. Scholes","£9.90m  ","20062007"
"60","Alan SmithA. Smith","£6.30m  ","20062007"
"61","Darren FletcherD. Fletcher","£5.76m  ","20062007"
"62","David JonesD. Jones","£675k  ","20062007"
"63","Ritchie JonesR. Jones","£45k  ","20062007"
"64","Ryan GiggsR. Giggs","£9.90m  ","20062007"
"65","Michael BarnesM. Barnes"," ","20062007"
"66","Ji-Sung ParkJ. Park","£9.00m  ","20062007"
"67","Lee MartinL. Martin","£1.13m  ","20062007"
"68","Chris EaglesC. Eagles","£630k  ","20062007"
"69","Wayne RooneyW. Rooney","£32.40m  ","20062007"
"70","Cristiano RonaldoCristiano Ronaldo","£22.50m  ","20062007"
"71","Louis SahaL. Saha","£10.80m  ","20062007"
"72","Henrik LarssonH. Larsson","£4.05m  ","20062007"
"73","Fangzhuo DongF. Dong","£900k  ","20062007"
"74","Ole Gunnar SolskjaerO. Solskjaer","£810k  ","20062007"
"75","Phil MarshP. Marsh"," ","20062007"
"76","Pepe ReinaP. Reina","£9.90m  ","20062007"
